Company_name,CEO_name
Softbank,Masayoshi Son
Wilmar International,Khoon Hong Kuok
China Vanke,Jiu Sheng Zhu
Maybank,Khairussaleh Ramli
Hyundai Mobis,Eui-Sun Chung
General Mills,Jeff Harmening Harmening
Canon,Fujio Mitarai
Consolidated Edison,Timothy P. Cawley
Kansai Electric Power,", Ryoichi Nagata"
Danone,Antoine Bernard de Saint-Affrique
BT Group,Allison Kirkby
Bharti Airtel,Gopal Vittal
Etisalat,Hatem Mohamed Galal Ahmed Dowidar
OMV Group,Alfred Stern
Fast Retailing,Tadashi Yanai
Carrefour,Alexandre Bompard
NetEase,Lei Ding
Compass Group,Dominic Blakemore
Principal Financial Group,Daniel Joseph Houston
BCE,Mirko Bibic
Prudential,Anil Wadhwani
Suzuki Motor,Toshihiro Suzuki
FirstRand,Mary Vilakazi
Sun Hung Kai Properties,Ping Luen Kwok
Recruit Holdings,Hisayuki Idekoba
Williams,Alan S. Armstrong
Xcel Energy,Robert C. Frenzel
Coal India,PM Prasad
Kuwait Finance House,Abdulwahab Essa Abdulwahab Al-Rushoud
Raymond James Financial,Paul C. Reilly
Reckitt Benckiser Group,Kris Licht
China Coal Energy,Yan Jiang Li
Samsung C&T,"Keum-Yong Chung, Jung-Suk Koh"
Longfor Group Holdings,Xu Ping Chen
Blackstone,Stephen Allen Schwarzman
Daiwa House Industry,Keiichi Yoshii
Shaanxi Coal Industry,Shi Bin Wang
China Merchants Shekou Industrial Zone Holdings,
Mitsui Fudosan,Takashi Ueda
Henkel,Carsten Knobel
Imperial Brands,Stefan Bomhard
Truist Financial,Bill Rogers
L3Harris Technologies,Chris Kubasik
Woodside Energy Group,Marguerite Eileen O’Neill
Capgemini,Aiman Ezzat
NN Group,David Knibbe
Legal & General Group,Antonio Pedro Dos Santos Simoes
Republic Services,Jon Vander Ark
Halliburton,Jeffrey Allen Miller
Bouygues,Olivier Roussat
Pernod Ricard,Alexandre Ricard
Bristol Myers Squibb,Christopher S. Boerner
Coca-Cola Europacific Partners,Damian Paul Gammell
Yankuang Energy Group,Yao Meng Xiao
Markel,Thomas Sinnickson Gayner
Huntington Bank,Stephen D. Steinour
Tokyo Electric Power,Takashi Kawamura
CME Group,Terrence A. Duffy
STMicroelectronics,Jean-Marc Chery
Swiss Life Holding,Matthias Aellig
Edison International,Pedro J. Pizarro
GE HealthCare Technologies,Peter J. Arduini
Thales,Patrice Caine
Canara Bank,K. Satyanarayana Raju
Isbank,Hakan Aran MBA
Nutrien,Kenneth A. Seitz
British American Tobacco,Tadeu Luiz Marroco
East Japan Railway,
Central Japan Railway,Kouei Tsuge
Bank of Nanjing,Sheng Rong Hu
TE Connectivity,Terrence R. Curtin
Power Finance,Parminder Chopra
Royal Caribbean Group,Jason T. Liberty
HeidelbergCement,Ralph Dominik von Achten
AirBnB,Brian Chesky
Bharat Petroleum,Krishnakumar Gopalan
LG Chem,Hak Cheol Shin
Turkish Airlines,Bilal Eksi
Wuliangye Yibin,Wen Ge Jiang
Subaru Corporation,Tomomi Nakamura
Weichai Power,De Cheng Wang
Luxshare Precision Industry,Lai Chun Wang
Atlas Copco,Vagner Rego
United Rentals,Matthew John Flannery
CNH Industrial,Scott Wellington Wine
Loews,James S. Tisch
Entergy,Andrew S. Marsh
Quanta Computer,
BASF,Markus Kamieth
NXP Semiconductors,Kurt Sievers
Lam Research,Timothy M. Archer
Vertex Pharmaceuticals,Reshma Kewalramani
Citizens Financial Group,Bruce Winfield van Saun
Xiamen C&D,Mao Lin
S.F. Holding,Wei Wang
Norfolk Southern,Alan H. Shaw
Deutsche Boerse,Theodor Weimer
Intact Financial,Charles J. G.
Fujifilm Holdings,Teiichi Goto
Everest Re Group,Juan C. Andrade
OTP Bank,Sándor Csányi
Trane Technologies,Dave S. Regnery
Inpex,Naoki Kuroda
Wesfarmers,Robert Scott
Colgate-Palmolive,Noel R. Wallace
Samsung Life Insurance,Won-Hak Hong
Haleon,
Infosys,Salil S. Parekh
Devon Energy,Richard E. Muncrief
Punjab National Bank,Atul Kumar Goel
Publicis Groupe,Arthur Sadoun
MediaTek,
SK Hynix,Noh-Jung Kwak
Gilead Sciences,Daniel P. O'Day
Union Bank of India,Arumugam Manimekhalai
Abu Dhabi Commercial Bank,Ala'a Mohamed Atta Eraiqat
Gallagher,Patrick J. Gallagher
International Airlines,Luís Gallego Martín
Fujitsu,Takahito Tokita
Public Service Enterprise Group,Ralph A. LaRossa
Aptiv,Kevin P. Clark
Bayer,William N. Anderson
China Zheshang Bank,Ren Kang Shen
George Weston,Galen G. Weston
Cardinal Health,Jason M. Hollar
Kubota,
Regions Financial,John M. Turner
Bunge,Gregory A. Heckman
Equitable Holdings,Mark Pearson
China National Nuclear Power,Zheng Yu Zou
Bajaj Finserv,Sanjivnayan Rahul K. Bajaj
Mahindra & Mahindra,Anish Dilip Shah
Nintendo,Shuntaro Furukawa
Kenvue,
National Bank of Kuwait,
Barrick Gold,Dennis Mark Bristow
Coinbase,Brian Armstrong
Ecolab,Christophe Beck
AutoZone,Philip B. Daniele
Illinois Tool Works,Christopher A. O'Herlihy
DSV,Jens Hesselberg Lund
Standard Bank Group,Simpiwe Kenneth Tshabalala
Associated British Foods,George Garfield Weston
Lenovo Group,Yuan Qing Yang
Northern Trust,Michael G. O'Grady
Reinsurance Group of America,Tony Cheng
Nokia,Pekka Ilmari Lundmark
PKO Bank Polski,Szymon Midera
Ferguson,Kevin M. Murphy
Grupa PZU,Artur Olech
IQVIA,Ari Bousbib
Woori Financial Group,Jong-Yong Yim
Edp-energias De Portugal,Miguel Stilwell de Andrade
Hess,John B. Hess
Naspers,Ervin Tu
Swire Pacific,Merlin Bingham Swire
Kimberly-Clark,Michael D. Hsu
China Tower Corp.,Li Chen
SingTel,Kuan Moon Yuen
Chubu Electric Power,Akihisa Mizuno
CMOC Group,Rui Wen Sun
Hengli Petrochemical,Zhi Qing Wang
QBE Insurance Group,Andrew Horton
Riyad Bank,Nadir Sami Al-Koraya
Sinopharm Group,Zhi Ming Li
Telefónica,José María Álvarez-Pallete López
Telstra,Vicki Maree Brady
Cognizant,Ravi Kumar Singisetti
3M,Bill Brown
Industrial Bank of Korea,Jong-Won Yoon
NRG Energy,Lawrence Stephen Coben
CBRE Group,Robert E. Sulentic
Tokyo Electron,Toshiki Kawai
Metallurgical Corp of China,Bongani Nqwababa
Bank Of Hangzhou,Zhen Shan Chen
CEZ Group,Daniel Beneš
Micron Technology,Sanjay Mehrotra
China Energy Engineering,Hong Shui Sun
AerCap Holdings,Aengus Kelly
CGN Power,Li Gang Gao
Swisscom,Christoph Aeschlimann
Diamondback Energy,Travis D. Stice
New China Life Insurance,Quan Li
JSW Steel,Jayant Acharya
RELX,Erik Niklas Engstrom
Raiffeisen Bank International,Johann Strobl
Asahi Group Holdings,Atsushi Katsuki
Bank Leumi,Chanan Friedman
DTE Energy,Jerry Norcia
Centrica,Christopher O’Shea
Nu Holdings,David Vélez Osorno
Albertsons,Vivek Sankaran
Ally Financial,Michael George Rhodes
Anglo American,Duncan Graham Wanblad
GD Power Development,Yan Bing Jia
FirstEnergy,Brian X. Tierney
PPG,Timothy M. Knavish
Bank Hapoalim,Dov Kotler
Tenet Healthcare,Saumya Sutaria
Ross Stores,Barbara Rentler
Global Payments,Cameron M. Bready
MercadoLibre,Marcos Eduardo Galperin
Anhui Conch Cement,Qun Feng
Deutsche Lufthansa,Carsten Spohr
Akbank,Cenk Kaan Gür
Inner Mongolia Yili,
Teck Resources,Jonathan H. Price
Amphenol,Richard Adam Norwitt
Magna International,Seetarama Kotagiri
Great Wall Motor,Feng Mu
Jardine Matheson,John Raymond Witt
Warner Bros. Discovery,David M. Zaslav
CIMB Group Holdings,Abdul Rahman bin Ahmad
O'Reilly Automotive,Brad W. Beckham
Asr Nederland,Jos P. M. Baeten
Daiichi Sankyo,Sunao Manabe
Tenaris,Paolo Rocca
Constellation Brands,William A. Newlands
GE Vernova,
Continental,Nikolai Setzer
Samsung SDI,Yoon-Ho Choi
Huaneng Power International,Ke Yu Zhao
Hindalco Industries,Satish P. Pai
Banco de Sabadell,César González-Bueno
Bank of Ireland,Myles O’Grady
Aeon,
Sumitomo Mitsui Trust,Toru Takakura
Walgreens Boots Alliance,Timothy C. Wentworth
NEC,Takayuki Morita
Idemitsu Kosan,Shunichi Kito
Vistra Energy,
W. R. Berkley,Robert Berkley
Corteva,Charles V. Magro
Lincoln National,Ellen Gail Cooper
WEC Energy Group,Scott J. Lauber
Singapore Airlines,Choon Phong Goh
Hikvision,Yang Zhong Hu
Mitsubishi Estate,Atsushi Nakajima
Coupang,Bom Kim
Li Auto,Xiang Li
ServiceNow,Bill McDermott McDermott
Samsung Fire & Marine,Munhwa Lee
China Hongqiao Group,Bo Zhang
Cincinnati Financial,Stephen M. Spray
